title,link
"As Russia closes in on Kyiv, war across Ukraine becomes deadlier | ABC News",https://www.youtube.com/watch?v=UarBjS832A0
"Residents desperate to escape port city of Mariupol, Ukraine l GMA",https://www.youtube.com/watch?v=lE5X-jvNCUo
Ukraine fights back as struggle continues with Russia,https://www.youtube.com/watch?v=TFQqjq5M3Zg
Russia invades Ukraine LIVE | DW News livestream | Headline news from around the world,https://www.youtube.com/watch?v=V9KZGs1MtP4
"Ukrainian president pleads to U.S. senators for planes, drones and no-fly zone",https://www.youtube.com/watch?v=bd890HBHPRQ
"War in Ukraine: March 5, 2022",https://www.youtube.com/watch?v=wPn5n-05LdU
Man jumps on top of moving armored Russian vehicle while waving Ukrainian flag,https://www.youtube.com/watch?v=5KFcfVWbyzU
The Face Of Ukraine’s Refugee Crisis,https://www.youtube.com/watch?v=_2WmS-03Cno
Ukraine releases video of Russian helicopter being shot down,https://www.youtube.com/watch?v=3a3PQgD-LrA
What happened in Ukraine in week 2 of Russia’s assault,https://www.youtube.com/watch?v=_iMBfIVEub8
"Ukraine halts evacuation in Mariupol, accuses Russia of violating ceasefire",https://www.youtube.com/watch?v=oHER7HfxrzY
LIVE: Russia Invades Ukraine | NBC News NOW Simulcast of Sky News,https://www.youtube.com/watch?v=hDtCOtTOQ2g
Ukraine-Russia battle for Kyiv escalates,https://www.youtube.com/watch?v=mMci9ObFsLU
How is the war in Ukraine going for Russia? | DW News,https://www.youtube.com/watch?v=f1po2OdNnIc
'Hungry' Russian Soldiers Loot Ukrainian Shops,https://www.youtube.com/watch?v=OoM5yx1IVFY
How Russians Reacted When We Showed Them Pictures From Ukraine,https://www.youtube.com/watch?v=kELta9MLOzg
Heavy fighting near Ukraine's capital Kyiv - BBC News,https://www.youtube.com/watch?v=CbfqprwQpls
Lviv bracing for a potential Russian attack | CTV's Paul Workman in Ukraine,https://www.youtube.com/watch?v=sx6pU6rhjs0
Crowd of Ukrainian protesters stands ground as gunfire starts,https://www.youtube.com/watch?v=oehL9Ec1zQc
War in Ukraine: Special ITV News coverage as Russian invasion enters eleventh day | ITV News,https://www.youtube.com/watch?v=IvLNBjsLCiA
Ukraine conflict: Russia continues shelling after ceasefire agreement fails,https://www.youtube.com/watch?v=TsxpsLvtV_A
"Ukrainians strike massive Russian convoy, Pentagon says",https://www.youtube.com/watch?v=IsBc_Vbt1Uw
Russia in control of Ukraine nuclear plant after attack,https://www.youtube.com/watch?v=UxuH0MxtZII
Urban fighting could be disadvantage for Russian troops in Ukraine,https://www.youtube.com/watch?v=UToxerGSKko
Ukraine's armed forces claim to have shot down Russian military helicopter,https://www.youtube.com/watch?v=5IgoMxN-pEA
Russian attacks escalate across Ukraine,https://www.youtube.com/watch?v=wAq_gV8bRZ4
Footage shows how citizens try to stall Russian forces all over Ukraine | DW News,https://www.youtube.com/watch?v=UZhl9UnTXSc
'Desperation': Ex-intelligence chief on Putin's decision,https://www.youtube.com/watch?v=OvamWlE_UMk
Ukraine Invasion: President Zelenskyy says the West are supporting with actions,https://www.youtube.com/watch?v=95SdxxHkrxk
Fighting misinformation in Russia's invasion of Ukraine - BBC News,https://www.youtube.com/watch?v=HqipD0-OXqw
"Ukraine conflict: Russia attacks nuclear plant, amid fears strategic border now at risk",https://www.youtube.com/watch?v=d1WyGhqMx1M
Ukraine Invasion: NATO united over conflict,https://www.youtube.com/watch?v=bq6-WCAWxMQ
How is the war in Ukraine going for Russia? | DW News,https://www.youtube.com/watch?v=f1po2OdNnIc
Europe's largest nuclear power station shelled by Russia in Ukraine - BBC News,https://www.youtube.com/watch?v=Jsf54T0YATs
Ukraine-Russia battle for Kyiv escalates,https://www.youtube.com/watch?v=mMci9ObFsLU
War in Ukraine: Seven days that changed the world - BBC News,https://www.youtube.com/watch?v=BzR_K2tEXSo
"Ukraine Invasion: 'More deaths, more suffering and more destruction' to come warns NATO",https://www.youtube.com/watch?v=ddx154BUHmE
Slovenia PM: 'Defending Ukraine is defending Europe',https://www.youtube.com/watch?v=xlvmnN1mg6k
Ukrainian city on alert as Russian troops approach,https://www.youtube.com/watch?v=iwNzq2iC-nU
Russia Ukraine conflict: Europe’s biggest nuclear power plant attacked,https://www.youtube.com/watch?v=OHGKR8j2Ouo
Watch: Ukraine’s Zelensky lashes out at NATO over no-fly zone request | Russian invasion,https://www.youtube.com/watch?v=JjiOInPy-HE
NATO rejects Ukraine's 'no-fly zone' request | Latest English News | World News | WION,https://www.youtube.com/watch?v=ZsqT-zHzCp8
On the Ground in Ukraine: A VICE News Tonight Special Report,https://www.youtube.com/watch?v=fk5DgCwdTCw
Russian couple speaks out against Ukraine War despite possible imprisonment,https://www.youtube.com/watch?v=1HfEMydOwxQ
"30K foreign nationals looking to join fight in Ukraine, official says",https://www.youtube.com/watch?v=FoUiva2SivQ
